is_number,title,domain,standard_type,source_authority,source_type,verification_status,status,embedding_text,source_document,source_url,reviewed_in,amendment_count,certification_status,supersedes,superseded_by,metadata_rule
IS 732:2019,Code of practice for electrical wiring installations,Electrical / Installations,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 732:2019 | Code of practice for electrical wiring installations | Electrical / Installations | Code of Practice,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 3854,Switches for domestic and similar purposes - Specification,Electrical / Switchgear,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 3854 | Switches for domestic and similar purposes - Specification | Electrical / Switchgear | Product Specification,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 9537 (Part 3),Conduits for electrical installations - Part 3,Electrical / Installations,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 9537 (Part 3) | Conduits for electrical installations - Part 3 | Electrical / Installations | Product Specification,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 616:2017,"Audio, video and similar electronic apparatus - Safety requirements",Electronics / AV Equipment,Safety Standard,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 616:2017 | Audio, video and similar electronic apparatus - Safety requirements | Electronics / AV Equipment | Safety Standard",BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 302 (Part 1),Safety of household and similar electrical appliances - Part 1 General requirements,Electrical Appliances,Safety Standard,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 302 (Part 1) | Safety of household and similar electrical appliances - Part 1 General requirements | Electrical Appliances | Safety Standard,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 4250:2025,Electric Food-Mixers (Liquidizers and Grinders) and Centrifugal Juicers - Specification,Electrical Appliances,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 4250:2025 | Electric Food-Mixers (Liquidizers and Grinders) and Centrifugal Juicers - Specification | Electrical Appliances | Product Specification,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 2082:2018,Stationary storage type electric water heaters - Specification,Electrical Appliances,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 2082:2018 | Stationary storage type electric water heaters - Specification | Electrical Appliances | Product Specification,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 3177:2020,Electric Overhead Travelling Crane and Gantry Crane for all Applications - Code of Practice,Mechanical / Cranes,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 3177:2020 | Electric Overhead Travelling Crane and Gantry Crane for all Applications - Code of Practice | Mechanical / Cranes | Code of Practice,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 11501:2023,"Engine monoset pumps for clear, cold water for agricultural purposes - Specification",Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 11501:2023 | Engine monoset pumps for clear, cold water for agricultural purposes - Specification | Mechanical / Pumps | Product Specification",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12225:2025,Centrifugal jet pumps - Specification,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12225:2025 | Centrifugal jet pumps - Specification | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12469:2019,Specification of pumps for stationary firefighting installations,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12469:2019 | Specification of pumps for stationary firefighting installations | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 14220:2018,Openwell submersible pumpsets - Specification,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 14220:2018 | Openwell submersible pumpsets - Specification | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 17018 (Part 1):2022,Solar photovoltaic water pumping systems Part 1 Centrifugal pumps specification,Renewable Energy / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 17018 (Part 1):2022 | Solar photovoltaic water pumping systems Part 1 Centrifugal pumps specification | Renewable Energy / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1710:2021,Vertical turbine pumps - Specification,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1710:2021 | Vertical turbine pumps - Specification | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 6595 (Part 1):2023,"Horizontal centrifugal pumps for clear, cold water - Part 1 Agricultural and rural water supply purposes",Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 6595 (Part 1):2023 | Horizontal centrifugal pumps for clear, cold water - Part 1 Agricultural and rural water supply purposes | Mechanical / Pumps | Product Specification",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 6595 (Part 2):2023,"Horizontal centrifugal pump for clear, cold water - Part 2 General purpose",Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 6595 (Part 2):2023 | Horizontal centrifugal pump for clear, cold water - Part 2 General purpose | Mechanical / Pumps | Product Specification",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 8034:2018,Submersible pumpsets - Specification,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 8034:2018 | Submersible pumpsets - Specification | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 9079:2018,"Monoset pumps for clear, cold water for agricultural and water supply purposes - Specification",Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 9079:2018 | Monoset pumps for clear, cold water for agricultural and water supply purposes - Specification | Mechanical / Pumps | Product Specification",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 8472:2019,"Centrifugal regenerative pumps for clear, cold water - Specification",Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 8472:2019 | Centrifugal regenerative pumps for clear, cold water - Specification | Mechanical / Pumps | Product Specification",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 10805:2022,"Foot-Valves, Reflux Valves or Non-Return Valves and Bore Valves to be Used in Suction Lines of Agricultural Pumping Systems - Specification",Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 10805:2022 | Foot-Valves, Reflux Valves or Non-Return Valves and Bore Valves to be Used in Suction Lines of Agricultural Pumping Systems - Specification | Mechanical / Pumps | Product Specification",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 15657:2021,"Centrifugal pumps for petroleum, petrochemical and natural gas industries",Mechanical / Pumps,Product Standard,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 15657:2021 | Centrifugal pumps for petroleum, petrochemical and natural gas industries | Mechanical / Pumps | Product Standard",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 5600:2002,Pumps - Sewage and drainage - Specification,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 5600:2002 | Pumps - Sewage and drainage - Specification | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 8418:1999,Pumps - Centrifugal self priming - Specification,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 8418:1999 | Pumps - Centrifugal self priming - Specification | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 9201:1987,Specification for pumps for handling slurry,Mechanical / Pumps,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 9201:1987 | Specification for pumps for handling slurry | Mechanical / Pumps | Product Specification,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 10981:1983,"Code of acceptance test for centrifugal, mixed flow and axial pumps - class B",Mechanical / Pumps,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 10981:1983 | Code of acceptance test for centrifugal, mixed flow and axial pumps - class B | Mechanical / Pumps | Test Method",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 11346:2002,Tests for agricultural and water supply pumps - code of acceptance,Mechanical / Pumps,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 11346:2002 | Tests for agricultural and water supply pumps - code of acceptance | Mechanical / Pumps | Test Method,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 13538:1993,"Centrifugal, mixed flow and axial pumps - code for hydraulic performance tests - precision class",Mechanical / Pumps,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 13538:1993 | Centrifugal, mixed flow and axial pumps - code for hydraulic performance tests - precision class | Mechanical / Pumps | Test Method",BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 17429:2020,Solar photovoltaic water pumping systems - testing procedure - guidelines,Renewable Energy / Pumps,Test Guideline,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 17429:2020 | Solar photovoltaic water pumping systems - testing procedure - guidelines | Renewable Energy / Pumps | Test Guideline,BIS Compendium of Indian Standards on Pumps and Pumping Systems,https://services.bis.gov.in/tmp/compendium_2025-06-02-05-22-06.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 10500:2012,Drinking Water - Specification,Water Quality,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 10500:2012 | Drinking Water - Specification | Water Quality | Product Specification,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 14543:2024,Packaged drinking water other than packaged natural mineral water,Water Quality,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 14543:2024 | Packaged drinking water other than packaged natural mineral water | Water Quality | Product Specification,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 17482:2020,Drinking Water Supply Management System - Requirements for Piped Drinking Water Supply Service,Water Utilities,Management Standard,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 17482:2020 | Drinking Water Supply Management System - Requirements for Piped Drinking Water Supply Service | Water Utilities | Management Standard,BIS official standards catalogue / programme of work / capsule-course material,https://standards.bis.gov.in/,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1110:2023,Ferrosilicon - Specification,Metallurgy / Ferroalloys,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1110:2023 | Ferrosilicon - Specification | Metallurgy / Ferroalloys | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1170:1992,Ferrochromium - Specification,Metallurgy / Ferroalloys,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1170:1992 | Ferrochromium - Specification | Metallurgy / Ferroalloys | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1171:2011,Ferromanganese - Specification,Metallurgy / Ferroalloys,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1171:2011 | Ferromanganese - Specification | Metallurgy / Ferroalloys | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 12908:1990,Ferroaluminium - Specification,Metallurgy / Ferroalloys,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 12908:1990 | Ferroaluminium - Specification | Metallurgy / Ferroalloys | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 13054:1991,Quartzite/quartz for the production of ferroalloys - Specification,Metallurgy / Ferroalloys,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 13054:1991 | Quartzite/quartz for the production of ferroalloys - Specification | Metallurgy / Ferroalloys | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1470:2013,Silicomanganese - Specification,Metallurgy / Ferroalloys,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1470:2013 | Silicomanganese - Specification | Metallurgy / Ferroalloys | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 2549:2023,Processed ferrous scrap - Code for classification,Metallurgy / Steel,Classification Standard,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 2549:2023 | Processed ferrous scrap - Code for classification | Metallurgy / Steel | Classification Standard,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 14650:2023,Unalloyed and alloyed steel ingot and semi-finished products for re-rolling purposes,Metallurgy / Steel,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 14650:2023 | Unalloyed and alloyed steel ingot and semi-finished products for re-rolling purposes | Metallurgy / Steel | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 6529:1996,Stainless steel blooms billets and slabs for forging,Metallurgy / Steel,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 6529:1996 | Stainless steel blooms billets and slabs for forging | Metallurgy / Steel | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 6911:2017,"Stainless steel plate, sheet and strip - Specification",Metallurgy / Stainless Steel,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 6911:2017 | Stainless steel plate, sheet and strip - Specification | Metallurgy / Stainless Steel | Product Specification",BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1079:2017,"Hot rolled carbon steel sheet, plate and strip - Specification",Metallurgy / Steel,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 1079:2017 | Hot rolled carbon steel sheet, plate and strip - Specification | Metallurgy / Steel | Product Specification",BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1161:2014,Steel tubes for structural purposes - Specification,Metallurgy / Steel Tubes,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1161:2014 | Steel tubes for structural purposes - Specification | Metallurgy / Steel Tubes | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1239 (Part 1):2004,"Steel tubes, tubulars and other wrought steel fittings - Part 1 steel tubes",Metallurgy / Steel Tubes,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 1239 (Part 1):2004 | Steel tubes, tubulars and other wrought steel fittings - Part 1 steel tubes | Metallurgy / Steel Tubes | Product Specification",BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 3601:2006,Steel tubes for mechanical and general engineering purposes - Specification,Metallurgy / Steel Tubes,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 3601:2006 | Steel tubes for mechanical and general engineering purposes - Specification | Metallurgy / Steel Tubes | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 2629:1985,Recommended practice for hot-dip galvanizing of iron and steel,Metallurgy / Coatings,Code of Practice,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 2629:1985 | Recommended practice for hot-dip galvanizing of iron and steel | Metallurgy / Coatings | Code of Practice,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 2633:1986,Method for testing uniformity of coating on zinc coated articles,Metallurgy / Coatings,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 2633:1986 | Method for testing uniformity of coating on zinc coated articles | Metallurgy / Coatings | Test Method,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 6396:2023,Steels - Determination of the depth of decarburization,Metallurgy / Testing,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 6396:2023 | Steels - Determination of the depth of decarburization | Metallurgy / Testing | Test Method,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 1501 (Part 1):2020,Metallic Materials - Vickers Hardness Test Part 1 Test Method,Metallurgy / Testing,Test Method,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 1501 (Part 1):2020 | Metallic Materials - Vickers Hardness Test Part 1 Test Method | Metallurgy / Testing | Test Method,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 733:1983,"Specification for wrought aluminium and aluminium alloys bars, rods and sections for general engineering purposes",Metallurgy / Aluminium,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,"IS 733:1983 | Specification for wrought aluminium and aluminium alloys bars, rods and sections for general engineering purposes | Metallurgy / Aluminium | Product Specification",BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 734:1975,Wrought aluminium and aluminium alloys forging stock and forgings,Metallurgy / Aluminium,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 734:1975 | Wrought aluminium and aluminium alloys forging stock and forgings | Metallurgy / Aluminium | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
IS 736:1986,Specification for wrought aluminium and aluminium alloys plate for general engineering purposes,Metallurgy / Aluminium,Product Specification,BIS,BIS compendium / BIS programme of work / BIS official capsule-course material,BIS-source identified; verify current Know Your Standard record before production,Active/Current candidate,IS 736:1986 | Specification for wrought aluminium and aluminium alloys plate for general engineering purposes | Metallurgy / Aluminium | Product Specification,BIS Metallography / Metallurgical Engineering standards material,https://www.services.bis.gov.in/tmp/compendium_2025-06-05-11-59-24.pdf,,,,,,Blank lifecycle/certification fields must be resolved from the current BIS Know Your Standard record before production recommendation.
